SUID,annotation name,annotations,Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,Ensembl Gene ID,Ensembl Protein ID,Entrez Gene ID,gene name,log score,name,node type,Radiality unDir,RefSeq mRNA ID,RefSeq Protein ID,score,selected,shared name,Stress unDir,Synonym,Uniprot ID
1927,a,GO:0008270,7.941844703,4.679147415,-166,0.001801802,7,0.333333333,0.009857574,ENSG00000196132,ENSP00000442412,4661,MYT1,-5.152642513,H__sapiens__2_-Hs:726602,result,1.618025751,NM_004535,NP_004526,0.0057841,FALSE,H__sapiens__2_-Hs:726602,142,ZC2HC4A,Q01538
1935,a,GO:0043627|GO:0030155|GO:0044212|GO:0048610|GO:0048545|GO:0007346|GO:0045931|GO:0001655|GO:0005667|GO:0006338|GO:0033993|GO:0003690|GO:0003705|GO:0001067|GO:0010771|GO:0045785|GO:0030518|GO:0010717|GO:0097305|GO:0000981|GO:0022612|GO:0003006|GO:0030522|GO:0045596|GO:2000736|GO:0001837|GO:0022604|GO:0051091|GO:0048732|GO:0010769|GO:0045787|GO:0000975|GO:0043566|GO:0032355|GO:0014070|GO:0048863|GO:0051129|GO:0010721,124.7979902,3.525524197,-88,0.002272727,35,0.333333333,0.041954422,ENSG00000129514,ENSP00000451704,3169,FOXA1,-5.206625299,H__sapiens__2_-Hs:715478,result,2.111587983,NM_004496,NP_004487,0.005480136,FALSE,H__sapiens__2_-Hs:715478,1500,HNF3A,P55317
2009,a,GO:0010332|GO:0009314|GO:0010212,241.2136301,3.02921703,-65,0.002380952,63,0.333333333,0.086221715,ENSG00000144554,ENSP00000402166,2177,FANCD2,-3.326013687,H__sapiens__2_-Hs:717938,result,2.197424893,NM_033084,NP_149075,0.035936072,FALSE,H__sapiens__2_-Hs:717938,3078,FA-D2,Q9BXW9
2059,a,,0,0,-192,0.001623377,3,0.333333333,0.002984977,ENSG00000249751,ENSP00000421364,641700,ECSCR,-5.102402036,H__sapiens__2_-Hs:752665,result,1.356223176,NM_001077693,NP_001071161,0.00608212,FALSE,H__sapiens__2_-Hs:752665,0,ECSM2,Q19T08
2080,a,,28.90867826,5.046471274,-110,0.002164502,17,0.333333333,0.027603808,ENSG00000130766,ENSP00000253063,83667,SESN2,-5.286180317,H__sapiens__2_-Hs:715667,result,2.017167382,NM_031459,NP_113647,0.005061055,FALSE,H__sapiens__2_-Hs:715667,364,SEST2,SESN2_HUMAN
4954,a,,0,0,-232,0.001579779,1,0.333333333,0.001946112,ENSG00000273173,ENSP00000463396,8926,SNURF,-5.681251334,H__sapiens__2_-Hs:733044,bad,1.283261803,NM_022804,NP_073715,0.00340929,FALSE,H__sapiens__2_-Hs:733044,0,,SNURF_HUMAN
5601,a,,4.394668386,0.997365778,-115,0.002061856,17,0.333333333,0.035274313,,,,Meiotic Recombination,,H__sapiens__2_-Meiotic Recombination,attribute,1.918454936,,,0.009831663,FALSE,H__sapiens__2_-Meiotic Recombination,90,,
5603,a,,7.582713752,1.3298193,-111,0.00209205,19,0.333333333,0.038475628,,,,Meiosis,,H__sapiens__2_-Meiosis,attribute,1.948497854,,,0.006027923,FALSE,H__sapiens__2_-Meiosis,132,,
5605,a,,35.22362604,3.30792941,-93,0.002247191,24,0.333333333,0.038796411,,,,Pancreatic cancer,,H__sapiens__2_-Pancreatic cancer,attribute,2.090128755,,,0.022367159,FALSE,H__sapiens__2_-Pancreatic cancer,564,,
5607,,,155.8182366,4.2753576,-72,0.002358491,43,0.333333333,0.070232727,,,,TGF_beta_Receptor,,H__sapiens__2_-TGF_beta_Receptor,attribute,2.180257511,,,0.012964576,FALSE,H__sapiens__2_-TGF_beta_Receptor,2214,,
